Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
RGMB,Repulsive Guidance Molecule BMP Co-Receptor B,Protein Coding,41,GC05P098768,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGMB
SLC39A1,Solute Carrier Family 39 Member 1,Protein Coding,41,GC01M153960,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A1
CCDC134,Coiled-Coil Domain Containing 134,Protein Coding,40,GC22P041800,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC134
FGGY,FGGY Carbohydrate Kinase Domain Containing,Protein Coding,40,GC01P059296,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGGY
H3-3A,H3.3 Histone A,Protein Coding,40,GC01P226062,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3A
H3-3B,H3.3 Histone B,Protein Coding,40,GC17M075811,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3B
KRT86,Keratin 86,Protein Coding,40,GC12P052249,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT86
TRAPPC10,Trafficking Protein Particle Complex Subunit 10,Protein Coding,40,GC21P044012,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC10
H3C1,H3 Clustered Histone 1,Protein Coding,39,GC06P087449,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C1
AHSP,Alpha Hemoglobin Stabilizing Protein,Protein Coding,38,GC16P031527,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHSP
P3H4,Prolyl 3-Hydroxylase Family Member 4 (Inactive),Protein Coding,38,GC17M041801,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P3H4
RNPC3,"RNA Binding Region (RNP1, RRM) Containing 3",Protein Coding,38,GC01P103525,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNPC3
UVSSA,UV Stimulated Scaffold Protein A,Protein Coding,38,GC04P001341,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UVSSA
VPS52,VPS52 Subunit Of GARP Complex,Protein Coding,38,GC06M069299,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS52
ZNF263,Zinc Finger Protein 263,Protein Coding,38,GC16P012744,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF263
HBQ1,Hemoglobin Subunit Theta 1,Protein Coding,37,GC16P012595,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBQ1
RTTN,Rotatin,Protein Coding,37,GC18M070003,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTTN
WDR20,WD Repeat Domain 20,Protein Coding,37,GC14P110162,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR20
CCDC126,Coiled-Coil Domain Containing 126,Protein Coding,36,GC07P023597,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC126
H3C2,H3 Clustered Histone 2,Protein Coding,36,GC06M026032,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C2
PLPPR3,Phospholipid Phosphatase Related 3,Protein Coding,36,GC19M005860,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLPPR3
RNF112,Ring Finger Protein 112,Protein Coding,36,GC17P057565,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF112
TPRN,Taperin,Protein Coding,36,GC09M137191,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPRN
TUBGCP5,Tubulin Gamma Complex Associated Protein 5,Protein Coding,36,GC15M022983,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBGCP5
FJX1,Four-Jointed Box Kinase 1,Protein Coding,35,GC11P035618,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FJX1
H3C12,H3 Clustered Histone 12,Protein Coding,35,GC06M069803,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C12
H3C4,H3 Clustered Histone 4,Protein Coding,35,GC06M069804,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C4
CAPN14,Calpain 14,Protein Coding,34,GC02M031173,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN14
H3C10,H3 Clustered Histone 10,Protein Coding,34,GC06P087551,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C10
H3C11,H3 Clustered Histone 11,Protein Coding,34,GC06M069802,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C11
H3C3,H3 Clustered Histone 3,Protein Coding,34,GC06P087452,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C3
H3C8,H3 Clustered Histone 8,Protein Coding,34,GC06M069806,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C8
H3C15,H3 Clustered Histone 15,Protein Coding,33,GC01P150284,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C15
H3C6,H3 Clustered Histone 6,Protein Coding,33,GC06P088604,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C6
H3C7,H3 Clustered Histone 7,Protein Coding,33,GC06M069805,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C7
NPB,Neuropeptide B,Protein Coding,33,GC17P081900,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPB
PGBD2,PiggyBac Transposable Element Derived 2,Protein Coding,33,GC01P248872,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGBD2
RAB7B,"RAB7B, Member RAS Oncogene Family",Protein Coding,32,GC01M205976,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7B
H3C13,H3 Clustered Histone 13,Protein Coding,31,GC01M152324,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C13
ZNF595,Zinc Finger Protein 595,Protein Coding,30,GC04P000046,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF595
ZNF718,Zinc Finger Protein 718,Protein Coding,29,GC04P000118,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF718
GNAS-AS1,GNAS Antisense RNA 1,RNA Gene,25,GC20M058811,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS-AS1
TRAPPC2B,Trafficking Protein Particle Complex Subunit 2B,Protein Coding,25,GC19P070566,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2B
SNORD64,"Small Nucleolar RNA, C/D Box 64",RNA Gene,17,GC15P043956,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD64
SNORD108,"Small Nucleolar RNA, C/D Box 108",RNA Gene,16,GC15P043957,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD108
SNORD109B,"Small Nucleolar RNA, C/D Box 109B",RNA Gene,16,GC15P043987,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD109B
SNORD107,"Small Nucleolar RNA, C/D Box 107",RNA Gene,15,GC15P043960,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD107
LOC124902337,Small Nucleolar RNA SNORD116,Pseudogene,13,GC09P126427,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC124902337
LOC124902571,Small Nucleolar RNA SNORD115,Pseudogene,11,GC10P029577,0.418998122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC124902571
GJA1,Gap Junction Protein Alpha 1,Protein Coding,53,GC06P121436,0.41212672,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1
RBL2,RB Transcriptional Corepressor Like 2,Protein Coding,47,GC16P053433,0.41212672,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBL2
HGD,"Homogentisate 1,2-Dioxygenase",Protein Coding,45,GC03M120628,0.41212672,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGD
ERBB4,Erb-B2 Receptor Tyrosine Kinase 4,Protein Coding,57,GC02M211375,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4
BCR,BCR Activator Of RhoGEF And GTPase,Protein Coding,55,GC22P023179,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCR
FLT1,Fms Related Receptor Tyrosine Kinase 1,Protein Coding,54,GC13M028300,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1
PRKG1,Protein Kinase CGMP-Dependent 1,Protein Coding,54,GC10P050991,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKG1
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,54,GC11M065653,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
F10,Coagulation Factor X,Protein Coding,53,GC13P113122,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F10
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,52,GC19P048954,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX
CASK,Calcium/Calmodulin Dependent Serine Protein Kinase,Protein Coding,52,GC0XM041514,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASK
CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,51,GC02P207529,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1
PRKCE,Protein Kinase C Epsilon,Protein Coding,51,GC02P045651,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCE
SCN1A,Sodium Voltage-Gated Channel Alpha Subunit 1,Protein Coding,51,GC02M165989,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1A
CACNA1E,Calcium Voltage-Gated Channel Subunit Alpha1 E,Protein Coding,50,GC01P181317,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1E
CACNA2D1,Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 1,Protein Coding,50,GC07M081946,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D1
CTSL,Cathepsin L,Protein Coding,50,GC09P087725,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL
GLRB,Glycine Receptor Beta,Protein Coding,50,GC04P157076,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRB
HTR4,5-Hydroxytryptamine Receptor 4,Protein Coding,50,GC05M148451,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR4
PRKG2,Protein Kinase CGMP-Dependent 2,Protein Coding,50,GC04M081087,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKG2
TSC1,TSC Complex Subunit 1,Protein Coding,50,GC09M132891,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1
TTN,Titin,Protein Coding,50,GC02M178525,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTN
SLC4A4,Solute Carrier Family 4 Member 4,Protein Coding,49,GC04P071063,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A4
SUCLA2,Succinate-CoA Ligase ADP-Forming Subunit Beta,Protein Coding,49,GC13M047745,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2
BIRC2,Baculoviral IAP Repeat Containing 2,Protein Coding,48,GC11P102347,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC2
CBLB,Cbl Proto-Oncogene B,Protein Coding,48,GC03M105655,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLB
DPYSL2,Dihydropyrimidinase Like 2,Protein Coding,48,GC08P026514,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL2
EDN3,Endothelin 3,Protein Coding,48,GC20P059300,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN3
GPX1,Glutathione Peroxidase 1,Protein Coding,48,GC03M051406,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1
MTMR2,Myotubularin Related Protein 2,Protein Coding,48,GC11M097736,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR2
PKN2,Protein Kinase N2,Protein Coding,48,GC01P088684,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN2
SORL1,Sortilin Related Receptor 1,Protein Coding,48,GC11P121452,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1
TACR1,Tachykinin Receptor 1,Protein Coding,48,GC02M075162,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR1
ARID1B,AT-Rich Interaction Domain 1B,Protein Coding,47,GC06P156777,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1B
CLCN3,Chloride Voltage-Gated Channel 3,Protein Coding,47,GC04P169612,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN3
DDX1,DEAD-Box Helicase 1,Protein Coding,47,GC02P015591,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX1
DLC1,DLC1 Rho GTPase Activating Protein,Protein Coding,47,GC08M013083,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLC1
EPHA6,EPH Receptor A6,Protein Coding,47,GC03P096814,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA6
MAN2A1,Mannosidase Alpha Class 2A Member 1,Protein Coding,47,GC05P109689,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAN2A1
PCNT,Pericentrin,Protein Coding,47,GC21P046324,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNT
PRICKLE1,Prickle Planar Cell Polarity Protein 1,Protein Coding,47,GC12M042456,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRICKLE1
PTPRG,Protein Tyrosine Phosphatase Receptor Type G,Protein Coding,47,GC03P061561,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRG
PTPRM,Protein Tyrosine Phosphatase Receptor Type M,Protein Coding,47,GC18P007557,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRM
RELN,Reelin,Protein Coding,47,GC07M103471,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELN
SEMA3C,Semaphorin 3C,Protein Coding,47,GC07M080742,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3C
TIAM1,TIAM Rac1 Associated GEF 1,Protein Coding,47,GC21M031118,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIAM1
ANK1,Ankyrin 1,Protein Coding,46,GC08M041653,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANK1
AREG,Amphiregulin,Protein Coding,46,GC04P074445,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG
CPA6,Carboxypeptidase A6,Protein Coding,46,GC08M067422,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA6
CRADD,CASP2 And RIPK1 Domain Containing Adaptor With Death Domain,Protein Coding,46,GC12P093677,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRADD
CRBN,Cereblon,Protein Coding,46,GC03M003144,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRBN
DGKB,Diacylglycerol Kinase Beta,Protein Coding,46,GC07M014145,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKB
HDAC11,Histone Deacetylase 11,Protein Coding,46,GC03P013583,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC11
KCNB2,Potassium Voltage-Gated Channel Subfamily B Member 2,Protein Coding,46,GC08P072532,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNB2
KCNH7,Potassium Voltage-Gated Channel Subfamily H Member 7,Protein Coding,46,GC02M162371,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH7
MAD2L1,Mitotic Arrest Deficient 2 Like 1,Protein Coding,46,GC04M120055,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD2L1
TLE3,"TLE Family Member 3, Transcriptional Corepressor",Protein Coding,46,GC15M070047,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLE3
AASS,Aminoadipate-Semialdehyde Synthase,Protein Coding,45,GC07M122073,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS
ADH7,"Alcohol Dehydrogenase 7 (Class IV), Mu Or Sigma Polypeptide",Protein Coding,45,GC04M099412,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH7
AMPH,Amphiphysin,Protein Coding,45,GC07M039113,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPH
CD83,CD83 Molecule,Protein Coding,45,GC06P014117,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD83
EDEM1,ER Degradation Enhancing Alpha-Mannosidase Like Protein 1,Protein Coding,45,GC03P005187,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDEM1
IRF2,Interferon Regulatory Factor 2,Protein Coding,45,GC04M184387,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF2
JAM2,Junctional Adhesion Molecule 2,Protein Coding,45,GC21P025639,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAM2
MSRB3,Methionine Sulfoxide Reductase B3,Protein Coding,45,GC12P065279,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSRB3
PDCD4,Programmed Cell Death 4,Protein Coding,45,GC10P110871,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD4
PDCD6IP,Programmed Cell Death 6 Interacting Protein,Protein Coding,45,GC03P033798,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6IP
PPP6C,Protein Phosphatase 6 Catalytic Subunit,Protein Coding,45,GC09M125155,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP6C
SLC14A2,Solute Carrier Family 14 Member 2,Protein Coding,45,GC18P045167,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC14A2
SMOC2,SPARC Related Modular Calcium Binding 2,Protein Coding,45,GC06P168441,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMOC2
SNCAIP,Synuclein Alpha Interacting Protein,Protein Coding,45,GC05P122311,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCAIP
ST3GAL1,"ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 1",Protein Coding,45,GC08M133454,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST3GAL1
TBX3,T-Box Transcription Factor 3,Protein Coding,45,GC12M114670,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX3
UBE2G2,Ubiquitin Conjugating Enzyme E2 G2,Protein Coding,45,GC21M044768,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2G2
BCL9,BCL9 Transcription Coactivator,Protein Coding,44,GC01P147541,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL9
CNTN6,Contactin 6,Protein Coding,44,GC03P001109,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN6
DLGAP1,DLG Associated Protein 1,Protein Coding,44,GC18M003488,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP1
DNAJC6,DnaJ Heat Shock Protein Family (Hsp40) Member C6,Protein Coding,44,GC01P065248,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC6
FREM1,FRAS1 Related Extracellular Matrix 1,Protein Coding,44,GC09M014734,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FREM1
GPC5,Glypican 5,Protein Coding,44,GC13P091398,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC5
MYOCD,Myocardin,Protein Coding,44,GC17P012665,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOCD
MYT1L,Myelin Transcription Factor 1 Like,Protein Coding,44,GC02M001789,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYT1L
NOX3,NADPH Oxidase 3,Protein Coding,44,GC06M155395,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX3
NTM,Neurotrimin,Protein Coding,44,GC11P131370,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTM
PCDH15,Protocadherin Related 15,Protein Coding,44,GC10M053802,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH15
PKP1,Plakophilin 1,Protein Coding,44,GC01P201283,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP1
PSMB2,Proteasome 20S Subunit Beta 2,Protein Coding,44,GC01M035599,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB2
RGS2,Regulator Of G Protein Signaling 2,Protein Coding,44,GC01P192809,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS2
STC1,Stanniocalcin 1,Protein Coding,44,GC08M023841,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC1
TRDMT1,TRNA Aspartic Acid Methyltransferase 1,Protein Coding,44,GC10M017138,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRDMT1
ARHGAP6,Rho GTPase Activating Protein 6,Protein Coding,43,GC0XM012585,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP6
BAZ2B,Bromodomain Adjacent To Zinc Finger Domain 2B,Protein Coding,43,GC02M159318,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAZ2B
CD109,CD109 Molecule,Protein Coding,43,GC06P088334,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD109
CDH9,Cadherin 9,Protein Coding,43,GC05M026916,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH9
DECR1,"2,4-Dienoyl-CoA Reductase 1",Protein Coding,43,GC08P090001,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DECR1
ESM1,Endothelial Cell Specific Molecule 1,Protein Coding,43,GC05M054977,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESM1
FAT1,FAT Atypical Cadherin 1,Protein Coding,43,GC04M186587,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT1
FRS2,Fibroblast Growth Factor Receptor Substrate 2,Protein Coding,43,GC12P069471,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRS2
HS3ST1,Heparan Sulfate-Glucosamine 3-Sulfotransferase 1,Protein Coding,43,GC04M011394,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HS3ST1
KCNS3,Potassium Voltage-Gated Channel Modifier Subfamily S Member 3,Protein Coding,43,GC02P017877,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNS3
LRP12,LDL Receptor Related Protein 12,Protein Coding,43,GC08M104489,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP12
MCTP2,Multiple C2 And Transmembrane Domain Containing 2,Protein Coding,43,GC15P121816,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCTP2
PARD3,Par-3 Family Cell Polarity Regulator,Protein Coding,43,GC10M034110,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARD3
PDZK1,PDZ Domain Containing 1,Protein Coding,43,GC01M145670,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDZK1
PITRM1,Pitrilysin Metallopeptidase 1,Protein Coding,43,GC10M003138,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITRM1
RGS6,Regulator Of G Protein Signaling 6,Protein Coding,43,GC14P071867,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS6
SLC2A13,Solute Carrier Family 2 Member 13,Protein Coding,43,GC12M039755,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A13
SMC2,Structural Maintenance Of Chromosomes 2,Protein Coding,43,GC09P104094,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC2
TBX18,T-Box Transcription Factor 18,Protein Coding,43,GC06M084687,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX18
TSPAN5,Tetraspanin 5,Protein Coding,43,GC04M098470,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN5
UTRN,Utrophin,Protein Coding,43,GC06P144285,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTRN
VTCN1,V-Set Domain Containing T Cell Activation Inhibitor 1,Protein Coding,43,GC01M117143,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTCN1
BZW2,Basic Leucine Zipper And W2 Domains 2,Protein Coding,42,GC07P016646,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BZW2
CAND1,Cullin Associated And Neddylation Dissociated 1,Protein Coding,42,GC12P067270,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAND1
CLDN5,Claudin 5,Protein Coding,42,GC22M019523,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN5
E2F7,E2F Transcription Factor 7,Protein Coding,42,GC12M077021,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F7
HLX,H2.0 Like Homeobox,Protein Coding,42,GC01P220879,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLX
KCNK12,Potassium Two Pore Domain Channel Subfamily K Member 12,Protein Coding,42,GC02M047518,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK12
MED13L,Mediator Complex Subunit 13L,Protein Coding,42,GC12M115953,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED13L
NEGR1,Neuronal Growth Regulator 1,Protein Coding,42,GC01M071395,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEGR1
PARG,Poly(ADP-Ribose) Glycohydrolase,Protein Coding,42,GC10M049818,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARG
PCDH10,Protocadherin 10,Protein Coding,42,GC04P133149,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH10
PITPNM3,PITPNM Family Member 3,Protein Coding,42,GC17M006451,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITPNM3
SERPINA12,Serpin Family A Member 12,Protein Coding,42,GC14M094487,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA12
STARD13,StAR Related Lipid Transfer Domain Containing 13,Protein Coding,42,GC13M033103,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD13
USH2A,Usherin,Protein Coding,42,GC01M215622,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A
ACP6,"Acid Phosphatase 6, Lysophosphatidic",Protein Coding,41,GC01M147630,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP6
ARHGAP10,Rho GTPase Activating Protein 10,Protein Coding,41,GC04P147732,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP10
ARL5B,ADP Ribosylation Factor Like GTPase 5B,Protein Coding,41,GC10P018659,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL5B
ASCC3,Activating Signal Cointegrator 1 Complex Subunit 3,Protein Coding,41,GC06M100508,0.409868896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASCC3
